Block Row,Block Column,Status
5,38,Same
5,39,Restored
5,40,Same
5,41,Same
5,42,Same
5,43,Restored
5,44,Restored
5,45,Restored
5,46,Outage
5,47,Restored
5,48,Restored
5,49,Restored
5,50,Restored
5,51,Restored
5,52,Restored
5,53,Restored
5,54,Restored
5,55,Restored
5,56,Restored
5,57,Restored
5,58,Restored
5,59,Restored
5,60,Restored
5,61,Restored
5,62,Restored
5,63,Restored
6,0,Restored
6,1,Restored
6,2,Restored
6,3,Restored
6,4,Restored
6,5,Restored
6,6,Restored
6,7,Restored
6,8,Restored
6,9,Restored
6,10,Restored
6,11,Restored
6,12,Restored
6,13,Restored
6,14,Restored
6,15,Restored
6,16,Restored
6,17,Restored
6,18,Restored
6,19,Restored
6,20,Restored
6,21,Restored
6,22,Restored
6,23,Restored
6,24,Restored
6,25,Restored
6,26,Restored
6,27,Restored
6,28,Restored
6,29,Restored
6,30,Restored
6,31,Outage
6,32,Restored
6,33,Restored
6,34,Restored
6,35,Same
6,36,Restored
6,37,Restored
6,38,Restored
6,39,Same
6,40,Same
6,41,Restored
6,42,Same
6,43,Restored
6,44,Restored
6,45,Outage
6,46,Outage
6,47,Restored
6,48,Restored
6,49,Restored
6,50,Restored
6,51,Restored
6,52,Restored
6,53,Restored
6,54,Restored
6,55,Restored
6,56,Restored
6,57,Restored
6,58,Restored
6,59,Restored
6,60,Restored
6,61,Restored
6,62,Restored
6,63,Outage
7,0,Restored
7,1,Restored
7,2,Restored
7,3,Restored
7,4,Restored
7,5,Restored
7,6,Restored
7,7,Restored
7,8,Restored
7,9,Restored
7,10,Restored
7,11,Restored
7,12,Restored
7,13,Restored
7,14,Restored
7,15,Restored
7,16,Restored
7,17,Restored
7,18,Restored
7,19,Restored
7,20,Restored
7,21,Restored
7,22,Restored
7,23,Restored
7,24,Restored
7,25,Restored
7,26,Restored
7,27,Restored
7,28,Restored
7,29,Restored
7,30,Restored
7,31,Restored
7,32,Restored
7,33,Restored
7,34,Restored
7,35,Same
7,36,Restored
7,37,Same
7,38,Restored
7,39,Restored
7,40,Restored
7,41,Restored
7,42,Restored
7,43,Restored
7,44,Restored
7,45,Outage
7,46,Restored
7,47,Restored
7,48,Restored
7,49,Restored
7,50,Outage
7,51,Restored
7,52,Restored
7,53,Restored
7,54,Restored
7,55,Restored
7,56,Restored
7,57,Restored
7,58,Restored
7,59,Restored
7,60,Outage
7,61,Outage
7,62,Restored
7,63,Outage
8,0,Restored
8,1,Restored
8,2,Restored
8,3,Restored
8,4,Restored
8,5,Restored
8,6,Restored
8,7,Restored
8,8,Restored
8,9,Restored
8,10,Restored
8,11,Restored
8,12,Restored
8,13,Restored
8,14,Outage
8,15,Restored
8,16,Restored
8,17,Restored
8,18,Restored
8,19,Restored
8,20,Restored
8,21,Restored
8,22,Restored
8,23,Restored
8,24,Restored
8,25,Restored
8,26,Restored
8,27,Restored
8,28,Restored
8,29,Restored
8,30,Restored
8,31,Restored
8,32,Restored
8,33,Restored
8,34,Restored
8,35,Restored
8,36,Restored
8,37,Restored
8,38,Restored
8,39,Restored
8,40,Restored
8,41,Restored
8,42,Restored
8,43,Restored
8,44,Restored
8,45,Restored
8,46,Restored
8,47,Restored
8,48,Restored
8,49,Restored
8,50,Restored
8,51,Restored
8,52,Restored
8,53,Restored
8,54,Restored
8,55,Restored
8,56,Restored
8,57,Restored
8,58,Restored
8,59,Outage
8,60,Outage
8,61,Outage
8,62,Restored
8,63,Outage
9,0,Restored
9,1,Restored
9,2,Restored
9,3,Restored
9,4,Restored
9,5,Restored
9,6,Restored
9,7,Restored
9,8,Restored
9,9,Restored
9,10,Restored
9,11,Restored
9,12,Restored
9,13,Restored
9,14,Restored
9,15,Restored
9,16,Restored
9,17,Restored
9,18,Restored
9,19,Restored
9,20,Outage
9,21,Restored
9,22,Restored
9,23,Restored
9,24,Restored
9,25,Restored
9,26,Restored
9,27,Restored
9,28,Restored
9,29,Restored
9,30,Restored
9,31,Restored
9,32,Restored
9,33,Outage
9,34,Outage
9,35,Restored
9,36,Restored
9,37,Restored
9,38,Restored
9,39,Restored
9,40,Restored
9,41,Restored
9,42,Restored
9,43,Restored
9,44,Restored
9,45,Restored
9,46,Restored
9,47,Restored
9,48,Restored
9,49,Restored
9,50,Restored
9,51,Restored
9,52,Restored
9,53,Restored
9,54,Restored
9,55,Restored
9,56,Restored
9,57,Outage
9,58,Outage
9,59,Outage
9,60,Outage
9,61,Outage
9,62,Restored
9,63,Restored
10,0,Restored
10,1,Restored
10,2,Restored
10,3,Restored
10,4,Restored
10,5,Restored
10,6,Restored
10,7,Restored
10,8,Restored
10,9,Restored
10,10,Restored
10,11,Restored
10,12,Restored
10,13,Restored
10,14,Restored
10,15,Restored
10,16,Restored
10,17,Restored
10,18,Restored
10,19,Outage
10,20,Outage
10,21,Restored
10,22,Restored
10,23,Restored
10,24,Restored
10,25,Restored
10,26,Restored
10,27,Restored
10,28,Restored
10,29,Restored
10,30,Restored
10,31,Restored
10,32,Restored
10,33,Restored
10,34,Restored
10,35,Restored
10,36,Restored
10,37,Restored
10,38,Restored
10,39,Restored
10,40,Restored
10,41,Restored
10,42,Restored
10,43,Restored
10,44,Restored
10,45,Restored
10,46,Restored
10,47,Restored
10,48,Restored
10,49,Restored
10,50,Restored
10,51,Restored
10,52,Restored
10,53,Restored
10,54,Restored
10,55,Restored
10,56,Outage
10,57,Outage
10,58,Outage
10,59,Outage
10,60,Outage
10,61,Outage
10,62,Restored
10,63,Restored
11,0,Restored
11,1,Restored
11,2,Restored
11,3,Restored
11,4,Restored
11,5,Restored
11,6,Outage
11,7,Restored
11,8,Restored
11,9,Restored
11,10,Restored
11,11,Restored
11,12,Restored
11,13,Restored
11,14,Restored
11,15,Restored
11,16,Restored
11,17,Restored
11,18,Restored
11,19,Restored
11,20,Restored
11,21,Restored
11,22,Restored
11,23,Restored
11,24,Restored
11,25,Restored
11,26,Restored
11,27,Restored
11,28,Restored
11,29,Restored
11,30,Restored
11,31,Restored
11,32,Restored
11,33,Restored
11,34,Restored
11,35,Restored
11,36,Restored
11,37,Restored
11,38,Restored
11,39,Restored
11,40,Restored
11,41,Restored
11,42,Restored
11,43,Restored
11,44,Restored
11,45,Restored
11,46,Restored
11,47,Restored
11,48,Restored
11,49,Restored
11,50,Restored
11,51,Restored
11,52,Restored
11,53,Restored
11,54,Restored
11,55,Restored
11,56,Outage
11,57,Outage
11,58,Outage
11,59,Restored
11,60,Restored
11,61,Restored
11,62,Restored
11,63,Restored
12,0,Restored
12,1,Restored
12,2,Restored
12,3,Restored
12,4,Restored
12,5,Restored
12,6,Outage
12,7,Restored
12,8,Restored
12,9,Restored
12,10,Restored
12,11,Restored
12,12,Restored
12,13,Restored
12,14,Restored
12,15,Restored
12,16,Restored
12,17,Restored
12,18,Restored
12,19,Restored
12,20,Restored
12,21,Restored
12,22,Restored
12,23,Restored
12,24,Restored
12,25,Restored
12,26,Restored
12,27,Restored
12,28,Restored
12,29,Restored
12,30,Restored
12,31,Restored
12,32,Restored
12,33,Restored
12,34,Restored
12,35,Outage
12,36,Restored
12,37,Restored
12,38,Restored
12,39,Restored
12,40,Restored
12,41,Restored
12,42,Restored
12,43,Restored
12,44,Restored
12,45,Restored
12,46,Restored
12,47,Restored
12,48,Restored
12,49,Restored
12,50,Restored
12,51,Restored
12,52,Restored
12,53,Outage
12,54,Restored
12,55,Restored
12,56,Restored
12,57,Outage
12,58,Restored
12,59,Restored
12,60,Restored
12,61,Restored
12,62,Restored
12,63,Restored
13,0,Outage
13,1,Outage
13,2,Outage
13,3,Restored
13,4,Restored
13,5,Outage
13,6,Outage
13,7,Outage
13,8,Outage
13,9,Restored
13,10,Restored
13,11,Restored
