Block Row,Block Column,Status
0,0,Same
0,1,Restored
0,2,Restored
0,3,Same
0,4,Same
0,5,Same
0,6,Same
0,7,Same
0,8,Restored
0,9,Restored
0,10,Same
0,11,Same
0,12,Same
0,13,Same
0,14,Same
0,15,Same
0,16,Same
0,17,Restored
0,18,Same
0,19,Same
0,20,Same
0,21,Same
0,22,Same
0,23,Same
0,24,Same
0,25,Restored
0,26,Same
0,27,Same
0,28,Same
0,29,Restored
0,30,Restored
0,31,Same
0,32,Same
0,33,Restored
0,34,Restored
0,35,Restored
0,36,Same
0,37,Same
0,38,Same
0,39,Same
0,40,Same
0,41,Same
0,42,Same
0,43,Same
0,44,Same
0,45,Same
0,46,Same
0,47,Same
0,48,Same
0,49,Same
0,50,Same
0,51,Same
0,52,Same
0,53,Same
0,54,Same
0,55,Same
0,56,Same
0,57,Same
0,58,Same
0,59,Same
0,60,Same
0,61,Same
0,62,Same
0,63,Same
1,0,Restored
1,1,Restored
1,2,Same
1,3,Same
1,4,Same
1,5,Same
1,6,Same
1,7,Restored
1,8,Restored
1,9,Restored
1,10,Same
1,11,Same
1,12,Same
1,13,Same
1,14,Same
1,15,Same
1,16,Same
1,17,Same
1,18,Same
1,19,Same
1,20,Same
1,21,Same
1,22,Same
1,23,Same
1,24,Same
1,25,Same
1,26,Same
1,27,Same
1,28,Same
1,29,Same
1,30,Same
1,31,Same
1,32,Same
1,33,Restored
1,34,Restored
1,35,Restored
1,36,Same
1,37,Same
1,38,Same
1,39,Same
1,40,Same
1,41,Same
1,42,Same
1,43,Same
1,44,Same
1,45,Same
1,46,Same
1,47,Same
1,48,Same
1,49,Same
1,50,Same
1,51,Same
1,52,Same
1,53,Same
1,54,Same
1,55,Same
1,56,Same
1,57,Same
1,58,Same
1,59,Same
1,60,Same
1,61,Same
1,62,Same
1,63,Same
2,0,Restored
2,1,Restored
2,2,Same
2,3,Same
2,4,Same
2,5,Same
2,6,Same
2,7,Restored
2,8,Restored
2,9,Restored
2,10,Same
2,11,Same
2,12,Same
2,13,Same
2,14,Same
2,15,Same
2,16,Same
2,17,Same
2,18,Same
2,19,Same
2,20,Same
2,21,Same
2,22,Same
2,23,Restored
2,24,Same
2,25,Same
2,26,Same
2,27,Same
2,28,Same
2,29,Same
2,30,Same
2,31,Same
2,32,Same
2,33,Same
2,34,Restored
2,35,Restored
2,36,Same
2,37,Same
2,38,Restored
2,39,Restored
2,40,Restored
2,41,Same
2,42,Same
2,43,Same
2,44,Same
2,45,Same
2,46,Same
2,47,Same
2,48,Same
2,49,Same
2,50,Same
2,51,Same
2,52,Same
2,53,Same
2,54,Same
2,55,Same
2,56,Same
2,57,Same
2,58,Same
2,59,Same
2,60,Same
2,61,Same
2,62,Same
2,63,Same
3,0,Same
3,1,Same
3,2,Same
3,3,Restored
3,4,Restored
3,5,Same
3,6,Same
3,7,Restored
3,8,Same
3,9,Restored
3,10,Same
3,11,Same
3,12,Same
3,13,Same
3,14,Same
3,15,Same
3,16,Same
3,17,Same
3,18,Same
3,19,Same
3,20,Same
3,21,Same
3,22,Same
3,23,Restored
3,24,Same
3,25,Same
3,26,Same
3,27,Same
3,28,Same
3,29,Same
3,30,Same
3,31,Same
3,32,Same
3,33,Same
3,34,Restored
3,35,Restored
3,36,Same
3,37,Restored
3,38,Restored
3,39,Same
3,40,Restored
3,41,Restored
3,42,Same
3,43,Same
3,44,Same
3,45,Same
3,46,Same
3,47,Same
3,48,Same
3,49,Same
3,50,Same
3,51,Same
3,52,Same
3,53,Same
3,54,Restored
3,55,Restored
3,56,Restored
3,57,Restored
3,58,Same
3,59,Restored
3,60,Restored
3,61,Same
3,62,Same
3,63,Same
4,0,Same
4,1,Same
4,2,Same
4,3,Same
4,4,Restored
4,5,Restored
4,6,Restored
4,7,Restored
4,8,Same
4,9,Same
4,10,Same
4,11,Same
4,12,Same
4,13,Same
4,14,Same
4,15,Same
4,16,Same
4,17,Restored
4,18,Restored
4,19,Same
4,20,Same
4,21,Same
4,22,Same
4,23,Restored
4,24,Restored
4,25,Same
4,26,Same
4,27,Same
4,28,Same
4,29,Same
4,30,Same
4,31,Same
4,32,Same
4,33,Same
4,34,Restored
4,35,Restored
4,36,Same
4,37,Restored
4,38,Same
4,39,Same
4,40,Restored
4,41,Restored
4,42,Same
4,43,Same
4,44,Same
4,45,Same
4,46,Same
4,47,Same
4,48,Same
4,49,Same
4,50,Restored
4,51,Restored
4,52,Same
4,53,Restored
4,54,Restored
4,55,Restored
4,56,Restored
4,57,Same
4,58,Same
4,59,Restored
4,60,Same
4,61,Same
4,62,Same
4,63,Same
5,0,Same
5,1,Same
5,2,Same
5,3,Same
5,4,Same
5,5,Same
5,6,Same
5,7,Same
5,8,Same
5,9,Same
5,10,Same
5,11,Same
5,12,Same
5,13,Same
5,14,Same
5,15,Same
5,16,Same
5,17,Same
5,18,Same
5,19,Same
5,20,Same
5,21,Same
5,22,Same
5,23,Restored
5,24,Restored
5,25,Same
5,26,Same
5,27,Same
5,28,Same
5,29,Same
5,30,Same
5,31,Same
5,32,Same
5,33,Same
5,34,Same
5,35,Restored
5,36,Same
5,37,Restored
5,38,Restored
5,39,Restored
5,40,Restored
5,41,Restored
5,42,Restored
5,43,Same
5,44,Same
5,45,Same
5,46,Same
5,47,Same
5,48,Same
5,49,Same
5,50,Restored
5,51,Same
5,52,Same
5,53,Restored
5,54,Restored
5,55,Same
