49.83,60.56,164.42,220.53,196.12,165.28,77.57,47.81,55.73,40.89,27.93,36.57,39.57,33.11,35.53,43.81,47.06,45.65,46.63,48.69,47.72,45.14,44.25,43.68,48.97,50.63,54.69,56.59,61.89,67.98,63.15,59.87,59.89,63.32,60.05,57.72,58.96,57.75,56.6,57.38,55.05,56.02,53.5,53.08,56.16,58.88,56.62,56.69,60.47,60.55,60.02,58.55,57.53,60.5,60.82,63.28,72.01,48.72,19.53,12.54,11.93,19.71,46.46,62.16
49.52,48.46,52.02,171.76,229.86,200.35,154.18,103.87,66.59,43.77,29.23,40.31,42.29,35.13,37.6,46.23,49.54,49.0,48.12,49.17,47.45,48.47,47.09,50.17,49.15,51.66,59.26,61.09,63.04,66.4,64.02,63.34,65.85,65.57,62.29,62.07,61.62,59.65,58.52,57.9,57.02,59.12,56.93,61.21,58.04,59.26,60.74,59.22,60.94,59.55,61.92,62.39,64.11,65.5,65.3,66.37,71.36,68.49,30.05,14.74,12.0,14.91,36.09,61.54
46.89,44.32,43.2,61.65,221.49,227.74,224.06,169.55,80.49,39.07,25.56,41.33,46.52,39.11,39.02,46.46,51.79,51.91,49.87,50.69,50.98,51.42,51.17,50.05,50.73,55.95,63.32,63.74,64.8,65.85,67.26,68.26,70.48,69.79,65.31,64.91,63.55,63.0,59.78,61.99,59.54,61.05,61.77,64.59,59.62,63.51,64.57,60.98,61.3,64.41,65.12,64.6,65.38,65.97,68.43,70.4,73.88,78.29,50.22,19.61,13.18,13.26,28.15,60.84
41.05,39.08,40.0,45.31,134.91,244.96,244.73,206.25,84.59,40.51,23.04,42.3,50.06,39.33,38.79,48.52,54.42,54.98,51.45,55.02,54.2,52.21,53.06,53.42,54.8,59.64,64.99,67.45,69.25,69.73,68.71,68.75,67.64,67.79,74.23,68.72,65.81,65.14,65.5,66.06,64.21,63.47,64.35,63.59,63.57,63.6,65.63,64.98,65.79,65.83,64.98,66.49,68.79,70.11,72.08,73.23,71.91,78.64,73.22,31.45,14.9,12.86,20.7,55.33
39.24,40.09,44.1,49.86,71.11,238.61,250.74,206.77,109.84,53.82,28.53,42.17,51.74,40.95,37.27,48.79,55.56,57.23,51.58,55.77,57.03,56.15,55.32,56.28,57.52,61.7,66.73,72.13,70.18,72.03,71.65,71.95,72.65,78.69,77.09,73.14,69.42,69.62,69.11,68.18,67.85,70.55,70.68,65.98,66.0,68.67,70.0,71.33,70.98,70.66,69.97,71.87,72.19,73.82,75.62,76.65,76.79,80.84,85.02,48.5,17.81,13.49,17.07,49.37
44.66,47.19,51.37,55.0,67.02,204.6,252.43,186.58,108.36,83.3,47.63,42.15,53.01,39.66,37.02,51.07,57.42,58.65,53.45,54.23,56.3,59.13,57.2,58.91,61.19,64.97,70.09,71.71,70.7,71.36,74.74,73.35,84.15,79.55,78.96,77.83,72.0,72.91,72.5,72.42,72.4,73.65,72.75,70.42,70.69,73.22,74.44,73.37,72.85,75.36,77.21,80.13,78.29,78.06,79.02,79.67,85.01,85.31,89.45,65.53,23.4,14.54,16.24,44.64
53.08,55.28,58.09,67.05,146.11,206.87,247.13,144.46,74.29,133.21,70.74,48.0,54.2,37.99,37.68,53.71,57.94,59.8,54.12,53.84,60.01,63.38,63.61,64.43,67.04,68.14,68.93,73.49,73.92,76.74,76.33,77.79,78.78,78.91,77.31,76.52,76.2,76.79,76.5,74.94,76.71,75.7,75.26,75.74,76.02,78.08,76.21,78.22,77.45,78.33,88.4,83.44,82.5,83.14,84.02,86.78,90.89,91.18,89.51,75.99,30.39,15.9,15.99,41.83
59.25,61.13,63.71,119.1,235.94,237.23,241.29,145.51,93.06,126.4,109.77,65.7,53.68,34.98,40.77,54.88,60.67,59.22,53.19,52.31,61.16,67.24,69.96,72.19,76.68,72.32,73.41,77.98,78.46,78.23,79.67,80.13,81.63,82.1,81.73,78.62,78.55,80.19,79.39,77.37,78.99,79.03,77.14,82.47,81.6,78.24,77.87,80.87,82.96,81.32,85.0,84.96,86.2,88.88,89.83,92.27,94.23,95.22,92.37,81.09,37.37,17.01,16.35,44.13
63.23,63.61,66.13,157.65,254.16,254.46,241.95,197.93,127.3,83.78,148.42,89.31,51.68,32.41,43.19,59.31,62.08,62.13,54.16,52.72,63.44,70.54,74.46,75.98,73.27,74.1,81.58,80.66,81.07,81.73,82.43,84.36,83.64,81.64,81.49,82.06,83.08,82.52,79.88,79.87,80.59,82.51,83.63,84.05,82.13,80.83,80.79,83.12,86.12,85.12,87.52,87.72,90.06,91.28,97.17,99.16,95.68,98.14,95.4,83.47,41.7,18.35,17.62,48.72
63.73,62.62,65.87,184.26,254.3,254.84,253.52,221.77,135.33,76.17,114.19,129.16,60.88,29.77,45.0,59.65,64.31,62.44,56.88,54.19,65.66,75.53,78.49,79.75,74.86,78.49,97.57,82.82,83.54,84.89,89.2,88.31,85.41,85.17,85.59,86.0,85.64,83.9,83.85,84.27,83.92,87.3,87.16,86.23,84.35,83.53,83.92,88.09,87.44,90.72,93.53,93.62,93.83,98.05,100.84,100.93,99.94,102.38,98.87,85.72,42.4,19.05,19.89,57.01
